Species,Family,MaxSizeTL,MaxSizeTL_Prod,Diet,Position
Sufflamen chrysopterus,Balistidae,30,30,InvMob,BtPlDw
Thalassoma amblycephalum,Labridae,20,20,Plktiv,BtPlDw
Thalassoma hardwicke,Labridae,20,20,InvMob,BnthDw
Thalassoma hebraicum,Labridae,25,23,InvMob,BnthDw
Thalassoma purpureum,Labridae,50,46,InvMob,BnthDw
Thalassoma quinquevittatum,Labridae,15,17,InvMob,BnthDw
Variola louti,Serranidae,80,83,FisCep,BnthDw
Zanclus cornutus,Zanclidae,25,23,InvSes,BnthDw
Zebrasoma desjardinii,Acanthuridae,40,40,HerDet,BtPlDw
Zebrasoma scopas,Acanthuridae,25,25,HerDet,BtPlDw
