ID,Taxon,Weight_N,N15,PercentN,Weight_C,C13,PercentC,QC_N,QC_C,CN,L,C13_LF
s156,Inv,0.5005,8,0.027,0.407,-19.1,0.116,,,4.296296296,20.45081044,-18.78549422
s157,Inv,0.6605,10.8,0.103,0.5695,-13.6,0.363,,,3.524271845,7.832893228,-14.22032682
s158,Inv,0.6135,10.8,0.095,0.592,-13.2,0.37,,,3.894736842,14.39330041,-13.32451255
s159,Inv,0.6125,8.6,0.078,0.6625,-14.9,0.287,,,3.679487179,10.71031854,-15.30017008
s160,Inv,0.5585,10,0.076,0.53,-14.1,0.283,,,3.723684211,11.49443022,-14.44091227
s161,Inv,0.5425,9.4,0.094,0.4975,-14.3,0.307,,,3.265957447,2.570506455,-15.33427908
s162,Inv,0.6655,9.7,0.104,0.6355,-13.6,0.345,,,3.317307692,3.667775007,-14.54672841
s163,Inv,0.5545,9,0.078,0.2185,-16.4,0.307,,,3.935897436,15.06034038,-16.47530607
s005,Fish,0.5915,9.2,0.116,0.5915,-17.1,0.388,,,3.344827586,,
s173,Fish,0.5235,9.2,0.107,0.5235,-19.2,0.392,,,3.663551402,,
s164,Inv,0.582,8,0.073,0.6125,-17.6,0.323,,,4.424657534,22.19495635,-17.16227668
s165,Inv,0.4475,8.7,0.107,0.2275,-16.3,0.404,,,3.775700935,12.39834277,-16.57298588
s166,Inv,0.562,8,0.083,0.52,-15.9,0.331,,,3.987951807,15.88788324,-15.91456078
s167,Inv,1.875,8.6,0.017,0.6755,-10.1,0.101,,,5.941176471,37.85717275,-8.615085169
s169,Inv,2.2585,8.6,0.011,0.678,-14.2,0.078,,,7.090909091,45.77662374,-12.22310504
s170,Inv,2.0315,9.7,0.012,0.685,-17.2,0.063,,,5.25,31.67457962,-16.11616289
s171,Inv,1.584,8.5,0.019,0.6235,-18.3,0.074,,,3.894736842,14.39330041,-18.42451255
s172,Inv,0.51,8.1,0.08,0.543,-13.8,0.317,,,3.9625,15.48546602,-13.84405846
